Sample ID		Sub ID	Types
ORS0001			
ORS0002			
ORS0003			Saliva
ORS0004			Oral Rinse
ORS0005		CN	Cytobrush N
ORS0006		SV1	Saliva
ORS0007		SV2	Saliva
ORS0008		RV1	Oral Rinse
ORS0009		RV2	Oral Rinse
ORS0010		RV3	Oral Rinse
ORS0011		RV4	Oral Rinse
ORS0012		RV5	Oral Rinse
ORS0013		RV6	Oral Rinse
ORS0014		CNV1	Cytobrush N
ORS0015		CNV2	Cytobrush N
ORS0016		CNV3	Cytobrush N
ORS0017		CNV4	Cytobrush N
ORS0018			
ORS0019			
ORS0020			
ORS0021			
ORS0022			
ORS0023			
ORS0024			
ORS0025			
ORS0026			
ORS0027			
ORS0028			
ORS0029			
ORS0030			
ORS0031			
ORS0032			
ORS0033			
ORS0034			
ORS0035			
ORS0036			
ORS0037			
ORS0038			
ORS0039			
ORS0040			
ORS0041			
ORS0042			
ORS0043			
ORS0044			
ORS0045			
ORS0046			
ORS0047			
ORS0048			
ORS0049			
ORS0050			
ORS0051			
ORS0052			
ORS0053			
ORS0054			
ORS0055			
ORS0056			
ORS0057			
ORS0058			
ORS0059			
ORS0060			
ORS0061			
ORS0062			
ORS0063			
ORS0064			
ORS0065			
ORS0066			
ORS0067			
ORS0068			
ORS0069			
ORS0070			
ORS0071			
ORS0072			
ORS0073			
ORS0074			
ORS0075			
ORS0076			
ORS0077			
ORS0078			
ORS0079			
ORS0080			
ORS0081			
ORS0082			
ORS0083			
ORS0084			
ORS0085			
ORS0086			
ORS0087			
ORS0088			
ORS0089			
ORS0090			
ORS0091			
ORS0092			
ORS0093			
ORS0094			
ORS0095			
ORS0096			
ORS0097			
ORS0098			
ORS0099			
ORS0100			
ORS0101			
ORS0102			
ORS0103			
ORS0104			
ORS0105			
ORS0106			
ORS0107			
ORS0108			
ORS0109			
ORS0110			
ORS0111			
ORS0112			
ORS0113			
ORS0114			
ORS0115			
ORS0116			
ORS0117			
ORS0118			
ORS0119			
ORS0120			
ORS0121			
ORS0122			
ORS0123			
ORS0124			
ORS0125			
ORS0126			
ORS0127			
ORS0128			
ORS0129			
ORS0130			
ORS0131			
ORS0132			
ORS0133			
ORS0134			
ORS0135			
ORS0136			
ORS0137			
ORS0138			
ORS0139			
ORS0140			
ORS0141			
ORS0142			
ORS0143			
ORS0144			
ORS0145			
ORS0146			
ORS0147			
ORS0148			
ORS0149			
ORS0150			
ORS0151			
ORS0152			
ORS0153			
ORS0154			
ORS0155			
ORS0156			
ORS0157			
ORS0158			
ORS0159			
ORS0160			
ORS0161			
ORS0162			
ORS0163			
ORS0164			
ORS0165			
ORS0166			
ORS0167			
ORS0168			
ORS0169			
ORS0170			
ORS0171			
ORS0172			
ORS0173			
ORS0174			
ORS0175			
ORS0176			
ORS0177			
ORS0178			
ORS0179			
ORS0180			
ORS0181			
ORS0182			
ORS0183			
ORS0184			
ORS0185			
ORS0186			
ORS0187			
ORS0188			
ORS0189			
ORS0190			
ORS0191			
ORS0192			
ORS0193			
ORS0194			
ORS0195			
ORS0196			
ORS0197			
ORS0198			
ORS0199			
ORS0200			
ORS0201			
ORS0202			
ORS0203			
ORS0204			
ORS0205			
ORS0206			
ORS0207			
ORS0208			
ORS0209			
ORS0210			
ORS0211			
ORS0212			
ORS0213			
ORS0214			
ORS0215			
ORS0216			
ORS0217			
ORS0218			
ORS0219			
ORS0220			
ORS0221			
ORS0222			
ORS0223			
ORS0224			
ORS0225			
ORS0226			
ORS0227			
ORS0228			
ORS0229			
ORS0230			
ORS0231			
ORS0232			
ORS0233			
ORS0234			
ORS0235			
ORS0236			
ORS0237			
ORS0238			
ORS0239			
ORS0240			
ORS0241			
ORS0242			
ORS0243			
ORS0244			
ORS0245			
ORS0246			
ORS0247			
ORS0248			
ORS0249			
ORS0250			
ORS0251			
ORS0252			
ORS0253			
ORS0254			
ORS0255			
ORS0256			
ORS0257			
ORS0258			
ORS0259			
ORS0260			
ORS0261			
ORS0262			
ORS0263			
ORS0264			
ORS0265			
ORS0266			
ORS0267			
ORS0268			
ORS0269			
ORS0270			
ORS0271			
ORS0272			
ORS0273			
ORS0274			
ORS0275			
ORS0276			
ORS0277			
ORS0278			
ORS0279			
ORS0280			
ORS0281			
ORS0282			
ORS0283			
ORS0284			
ORS0285			
ORS0286			
ORS0287			
ORS0288			
ORS0289			
ORS0290			
ORS0291			
ORS0292			
ORS0293			
ORS0294			
ORS0295			
ORS0296			
ORS0297			
ORS0298			
ORS0299			
ORS0300			
ORS0301			
ORS0302			
ORS0303			
ORS0304			
ORS0305			
ORS0306			
ORS0307			
ORS0308			
ORS0309			
ORS0310			
ORS0311			
ORS0312			
ORS0313			
ORS0314			
ORS0315			
ORS0316			
ORS0317			
ORS0318			
